name,slug,value,date_of_information,ranking,region
"Zambia","zambia","14.40","2020 est.","107","Africa"
"Burkina Faso","burkina-faso","14.30","2020 est.","108","Africa"
"Mozambique","mozambique","14.30","2020 est.","109","Africa"
"Saudi Arabia","saudi-arabia","14.30","2020 est.","110","Middle East"
"New Zealand","new-zealand","13.70","2020 est.","111","Australia and Oceania"
"Rwanda","rwanda","13.70","2020 est.","112","Africa"
"Australia","australia","13.60","2020 est.","113","Australia and Oceania"
"Iran","iran","13.60","2020 est.","114","Middle East"
"Sierra Leone","sierra-leone","13.50","2020 est.","115","Africa"
"Mexico","mexico","13.10","2020 est.","116","North America"
"Canada","canada","13.00","2020 est.","117","North America"
"Brazil","brazil","12.80","2020 est.","118","South America"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","12.80","2020 est.","119","Africa"
"Bolivia","bolivia","12.70","2020 est.","120","South America"
"Guyana","guyana","12.10","2020 est.","121","South America"
"Iceland","iceland","12.00","2020 est.","122","Europe"
"Burundi","burundi","11.80","2020 est.","123","Africa"
"Qatar","qatar","11.80","2020 est.","124","Middle East"
"Zimbabwe","zimbabwe","11.70","2020 est.","125","Africa"
"Paraguay","paraguay","11.50","2020 est.","126","South America"
"Cabo Verde","cabo-verde","11.40","2020 est.","127","Africa"
"Ecuador","ecuador","11.30","2020 est.","128","South America"
"Gambia, The","gambia-the","11.10","2020 est.","129","Africa"
"Kenya","kenya","11.10","2020 est.","130","Africa"
"Guatemala","guatemala","10.90","2020 est.","131","Central America and the Caribbean"
"Malawi","malawi","10.80","2020 est.","132","Africa"
"Mauritania","mauritania","10.70","2020 est.","133","Africa"
"Bahamas, The","bahamas-the","10.60","2020 est.","134","Central America and the Caribbean"
"Dominican Republic","dominican-republic","10.60","2020 est.","135","Central America and the Caribbean"
"Cote d'Ivoire","cote-divoire","9.40","2020 est.","136","Africa"
"Jamaica","jamaica","9.40","2020 est.","137","Central America and the Caribbean"
"Eswatini","eswatini","9.20","2020 est.","138","Africa"
"Guinea-Bissau","guinea-bissau","9.00","2020 est.","139","Africa"
"Costa Rica","costa-rica","8.80","2020 est.","140","Central America and the Caribbean"
"Tanzania","tanzania","8.70","2020 est.","141","Africa"
"Barbados","barbados","8.50","2020 est.","142","Central America and the Caribbean"
"Belize","belize","8.50","2020 est.","143","Central America and the Caribbean"
"Colombia","colombia","8.50","2020 est.","144","South America"
"Uganda","uganda","8.40","2020 est.","145","Africa"
"Chad","chad","8.30","2020 est.","146","Africa"
"Mali","mali","8.30","2020 est.","147","Africa"
"Liberia","liberia","8.20","2020 est.","148","Africa"
"Peru","peru","8.10","2020 est.","149","South America"
"Oman","oman","8.00","2020 est.","150","Middle East"
"El Salvador","el-salvador","7.90","2020 est.","151","Central America and the Caribbean"
"Haiti","haiti","7.70","2020 est.","152","Central America and the Caribbean"
"Eritrea","eritrea","7.50","2020 est.","153","Africa"
"Niger","niger","7.40","2020 est.","154","Africa"
"Cameroon","cameroon","7.30","2020 est.","155","Africa"
"Benin","benin","6.90","2020 est.","156","Africa"
"Senegal","senegal","6.90","2020 est.","157","Africa"
"Togo","togo","6.80","2020 est.","158","Africa"
"Sao Tome and Principe","sao-tome-and-principe","5.70","2020 est.","159","Africa"
"Turkmenistan","turkmenistan","5.50","2020 est.","160","Central Asia"
"Ethiopia","ethiopia","5.10","2020 est.","161","Africa"
"Panama","panama","5.00","2020 est.","162","Central America and the Caribbean"
"Nigeria","nigeria","3.70","2020 est.","163","Africa"
"Ghana","ghana","3.50","2020 est.","164","Africa"
